id,x,y,w,h
ani001-Stand-4-5,4193,1447,29,86
ani001-Stand-4-6,946,588,28,88
ani001-Stand-5-1,4756,1079,94,78
ani001-Stand-5-2,2242,263,91,74
ani001-Stand-5-3,1023,895,88,73
ani001-Stand-5-4,2120,338,91,73
ani001-Stand-5-5,2334,208,91,75
ani001-Stand-5-6,4662,1123,94,77
ani001-Stand-6-1,744,204,124,55
ani001-Stand-6-2,744,503,118,52
ani001-Stand-6-3,470,627,117,50
ani001-Stand-6-4,587,599,117,51
ani001-Stand-6-5,1408,160,120,52
ani001-Stand-6-6,0,651,123,54
ani001-Stand-7-1,4568,1304,93,69
ani001-Stand-7-2,2242,337,91,70
ani001-Stand-7-3,269,1197,89,69
ani001-Stand-7-4,269,1266,89,69
ani001-Stand-7-5,1881,377,92,69
ani001-Stand-7-6,4902,1096,94,69
ani001-Walk-0-1,4193,1533,29,81
ani001-Walk-0-2,4726,1796,27,80
ani001-Walk-0-3,2483,1666,27,75
ani001-Walk-0-4,4726,1876,27,80
ani001-Walk-0-5,2855,1264,26,81
ani001-Walk-0-6,4819,2241,27,78
ani001-Walk-0-7,1705,1586,27,76
ani001-Walk-0-8,4856,773,25,82
ani001-Walk-1-1,4665,576,96,66
ani001-Walk-1-2,4662,1200,94,64
ani001-Walk-1-3,4661,1334,93,68
ani001-Walk-1-4,1767,302,92,70
ani001-Walk-1-5,4568,1145,94,72
ani001-Walk-1-6,4758,841,95,70
ani001-Walk-1-7,4665,507,97,69
ani001-Walk-2-1,312,261,128,53
ani001-Walk-2-2,158,480,126,55
ani001-Walk-2-3,0,705,123,54
ani001-Walk-2-4,1412,53,121,55
ani001-Walk-2-5,1533,102,121,55
ani001-Walk-2-6,0,596,123,55
ani001-Walk-2-7,312,314,127,55
ani001-Walk-2-8,312,208,129,53
ani001-Walk-3-1,4568,444,97,81
ani001-Walk-3-2,4568,659,95,82
ani001-Walk-3-3,4756,1222,93,82
ani001-Walk-3-4,2006,248,92,82
ani001-Walk-3-5,2006,330,92,81
ani001-Walk-3-6,4568,741,95,82
ani001-Walk-3-7,4343,416,97,80
ani001-Walk-4-1,829,1468,27,93
ani001-Walk-4-2,4853,855,28,94
ani001-Walk-4-3,1740,895,27,95
ani001-Walk-4-4,1135,462,28,96
ani001-Walk-4-5,1740,990,27,94
ani001-Walk-4-6,716,577,28,95
ani001-Walk-4-7,243,1716,26,95
ani001-Walk-4-8,4853,949,28,93
ani001-Walk-5-1,4902,548,98,80
ani001-Walk-5-2,4662,963,94,82
ani001-Walk-5-3,2120,256,92,82
ani001-Walk-5-4,1881,295,92,82
ani001-Walk-5-5,4568,986,94,81
ani001-Walk-5-6,4343,625,96,82
ani001-Walk-5-7,4343,496,97,80
ani001-Walk-6-1,158,277,129,53
ani001-Walk-6-2,599,142,126,54
ani001-Walk-6-3,158,535,123,57
ani001-Walk-6-4,1535,46,121,56
ani001-Walk-6-5,1287,75,121,55
ani001-Walk-6-6,1412,0,123,53
ani001-Walk-6-7,158,383,127,53
ani001-Walk-6-8,158,330,129,53
ani001-Walk-7-1,4440,509,97,73
ani001-Walk-7-2,4762,526,96,70
ani001-Walk-7-3,4754,1304,93,68
ani001-Walk-7-4,1767,436,92,65
ani001-Walk-7-5,1654,344,92,66
ani001-Walk-7-6,4663,898,95,65
ani001-Walk-7-7,4568,525,97,67
ani002-Attack-0-1,1315,2538,26,67
ani002-Attack-0-2,864,2273,29,68
ani002-Attack-0-3,855,2496,27,68
ani002-Attack-0-4,938,2225,29,52
ani002-Attack-0-5,832,2379,29,48
ani002-Attack-0-6,2528,776,28,54
ani002-Attack-0-7,3697,670,28,67
ani002-Attack-1-1,1654,1001,86,62
ani002-Attack-1-2,1654,1063,86,62
ani002-Attack-1-3,1488,1140,86,62
ani002-Attack-1-4,856,820,89,43
ani002-Attack-1-5,559,1292,88,56
ani002-Attack-1-6,4352,277,105,58
ani002-Attack-1-7,4902,760,98,54
ani002-Attack-2-1,4031,0,110,51
ani002-Attack-2-2,4356,161,107,44
ani002-Attack-2-3,4244,294,105,43
ani002-Attack-2-4,744,438,118,65
ani002-Attack-2-5,1288,0,124,75
ani002-Attack-2-6,888,60,135,78
ani002-Attack-2-7,470,372,123,61
ani002-Attack-3-1,2006,695,86,71
ani002-Attack-3-2,1654,1439,78,65
ani002-Attack-3-3,1163,1569,78,62
ani002-Attack-3-4,4568,900,94,86
ani002-Attack-3-5,4773,430,101,96
ani002-Attack-3-6,4903,96,97,94
ani002-Attack-3-7,2242,180,92,83
ani002-Attack-4-1,2855,1345,26,81
ani002-Attack-4-2,2092,825,28,74
ani002-Attack-4-3,129,2409,27,71
ani002-Attack-4-4,716,373,28,102
ani002-Attack-4-5,2212,170,30,108
ani002-Attack-4-6,129,345,29,105
ani002-Attack-4-7,3894,526,26,91
ani002-Attack-5-1,1881,664,86,71
ani002-Attack-5-2,2763,122,87,62
ani002-Attack-5-3,1249,1320,86,60
ani002-Attack-5-4,582,891,89,93
ani002-Attack-5-5,744,1019,88,99
ani002-Attack-5-6,4570,194,105,97
ani002-Attack-5-7,4440,432,97,77
ani002-Attack-6-1,4141,0,110,51
ani002-Attack-6-2,4245,194,107,44
ani002-Attack-6-3,4243,337,105,43
ani002-Attack-6-4,744,368,118,70
ani002-Attack-6-5,599,196,125,79
ani002-Attack-6-6,750,61,135,74
ani002-Attack-6-7,877,138,124,59
ani002-Attack-7-1,1402,1146,86,62
ani002-Attack-7-2,1488,1450,78,63
ani002-Attack-7-3,3920,585,77,62
ani002-Attack-7-4,2359,157,93,51
ani002-Attack-7-5,4457,294,101,55
ani002-Attack-7-6,4902,814,98,51
ani002-Attack-7-7,1767,501,92,59
ani002-Stand-0-1,1341,2538,26,67
ani002-Stand-0-2,675,2624,27,67
ani002-Stand-0-3,1367,2569,26,67
ani002-Stand-0-4,2907,520,25,67
ani002-Stand-0-5,1367,2636,26,67
ani002-Stand-0-6,645,2637,27,67
ani002-Stand-1-1,1488,1202,86,62
ani002-Stand-1-2,1402,1208,86,62
ani002-Stand-1-3,2850,122,87,62
ani002-Stand-1-4,2937,122,87,62
ani002-Stand-1-5,3024,122,87,62
ani002-Stand-1-6,1488,1264,86,62
ani002-Stand-2-1,4251,0,110,51
ani002-Stand-2-2,0,1008,111,51
ani002-Stand-2-3,1023,414,112,51
ani002-Stand-2-4,2359,49,114,51
ani002-Stand-2-5,1163,437,112,51
ani002-Stand-2-6,0,1059,111,51
ani002-Stand-3-1,1881,735,86,71
ani002-Stand-3-2,1489,858,87,71
ani002-Stand-3-3,1163,1014,88,72
ani002-Stand-3-4,856,1009,88,73
ani002-Stand-3-5,1251,1045,88,72
ani002-Stand-3-6,1402,864,87,71
ani002-Stand-4-1,2855,1426,26,81
ani002-Stand-4-2,4413,1826,26,83
ani002-Stand-4-3,4196,1363,26,84
ani002-Stand-4-4,1740,1120,27,84
ani002-Stand-4-5,4413,1641,26,84
ani002-Stand-4-6,4820,1744,26,83
ani002-Stand-5-1,1767,816,86,71
ani002-Stand-5-2,2682,51,87,71
ani002-Stand-5-3,269,1575,87,72
ani002-Stand-5-4,2006,622,86,73
ani002-Stand-5-5,0,1572,87,72
ani002-Stand-5-6,2589,113,87,71
ani002-Stand-6-1,4361,0,110,51
ani002-Stand-6-2,0,1110,111,51
ani002-Stand-6-3,1023,465,112,51
ani002-Stand-6-4,2015,50,114,51
ani002-Stand-6-5,1023,516,112,51
ani002-Stand-6-6,1163,488,111,51
ani002-Stand-7-1,1402,1270,86,62
ani002-Stand-7-2,1488,1326,86,62
ani002-Stand-7-3,3111,122,87,62
ani002-Stand-7-4,3198,122,87,62
ani002-Stand-7-5,3285,122,87,62
ani002-Stand-7-6,2473,509,86,62
ani002-Walk-0-1,1263,2667,26,73
ani002-Walk-0-2,129,2480,27,71
ani002-Walk-0-3,764,2444,27,68
ani002-Walk-0-4,1237,2741,26,72
ani002-Walk-0-5,2483,1963,27,73
ani002-Walk-0-6,129,2551,27,71
ani002-Walk-0-7,1237,2813,26,69
ani002-Walk-0-8,2483,1741,27,74
ani002-Walk-1-1,559,1113,88,60
ani002-Walk-1-2,555,1735,85,58
ani002-Walk-1-3,269,1647,85,61
ani002-Walk-1-4,744,1490,85,63
ani002-Walk-1-5,1023,1619,85,65
ani002-Walk-1-6,2006,766,86,63
ani002-Walk-1-7,3372,122,87,62
ani002-Walk-2-1,2014,101,114,49
ani002-Walk-2-2,1654,294,113,50
ani002-Walk-2-3,3920,404,110,49
ani002-Walk-2-4,4577,93,108,51
ani002-Walk-2-5,4141,51,109,50
ani002-Walk-2-6,3920,104,110,50
ani002-Walk-2-7,0,906,112,50
ani002-Walk-2-8,2245,0,115,49
ani002-Walk-3-1,1251,826,88,73
ani002-Walk-3-2,2589,378,86,69
ani002-Walk-3-3,269,1887,84,70
ani002-Walk-3-4,156,1950,84,72
ani002-Walk-3-5,269,1957,84,70
ani002-Walk-3-6,2473,440,86,69
ani002-Walk-3-7,1023,1112,88,70
ani002-Walk-4-1,1185,2597,26,78
ani002-Walk-4-2,1159,2469,26,79
ani002-Walk-4-3,4820,2159,26,82
ani002-Walk-4-4,4820,1827,26,83
ani002-Walk-4-5,2060,1488,26,81
ani002-Walk-4-6,130,2328,26,81
ani002-Walk-4-7,1211,2535,26,80
ani002-Walk-4-8,1237,2516,26,77
ani002-Walk-5-1,856,1082,88,68
ani002-Walk-5-2,1488,1000,86,70
ani002-Walk-5-3,1248,1439,85,73
ani002-Walk-5-4,0,1853,84,74
ani002-Walk-5-5,1163,1496,85,73
ani002-Walk-5-6,1402,1006,86,70
ani002-Walk-5-7,1163,1228,88,67
ani002-Walk-6-1,2128,121,114,49
ani002-Walk-6-2,1654,192,113,51
ani002-Walk-6-3,3921,0,110,53
ani002-Walk-6-4,4141,101,108,51
ani002-Walk-6-5,4250,51,109,50
ani002-Walk-6-6,3920,154,110,50
ani002-Walk-6-7,158,914,112,49
ani002-Walk-6-8,2015,0,115,50
ani002-Walk-7-1,3639,121,87,66
ani002-Walk-7-2,2120,659,86,64
ani002-Walk-7-3,156,2162,84,62
ani002-Walk-7-4,2589,452,83,59
ani002-Walk-7-5,555,1616,85,60
ani002-Walk-7-6,1249,1380,86,59
ani002-Walk-7-7,744,1242,88,60
ani003-Attack-0-1,1159,2777,26,68
ani003-Attack-0-2,735,2508,27,68
ani003-Attack-0-3,2817,510,28,65
ani003-Attack-0-4,1455,1639,25,60
ani003-Attack-0-5,762,2580,27,55
ani003-Attack-0-6,1341,2605,26,60
ani003-Attack-1-1,744,1553,85,63
ani003-Attack-1-2,3104,246,84,59
ani003-Attack-1-3,0,1415,89,53
ani003-Attack-1-4,4773,382,102,48
ani003-Attack-1-5,4245,238,107,44
ani003-Attack-1-6,4902,865,98,51
ani003-Attack-2-1,4471,0,110,51
ani003-Attack-2-2,4686,51,109,41
ani003-Attack-2-3,1654,156,114,36
ani003-Attack-2-4,312,79,133,65
ani003-Attack-2-5,610,0,140,66
ani003-Attack-2-6,0,409,128,61
ani003-Attack-3-1,2769,51,87,71
ani003-Attack-3-2,1402,1394,86,59
ani003-Attack-3-3,0,1280,89,57
ani003-Attack-3-4,4568,349,103,95
ani003-Attack-3-5,4795,51,108,92
ani003-Attack-3-6,4136,402,99,84
ani003-Attack-4-1,677,2543,26,81
ani003-Attack-4-2,1185,2749,26,70
ani003-Attack-4-3,1292,1883,27,71
ani003-Attack-4-4,445,79,25,105
ani003-Attack-4-5,287,345,25,101
ani003-Attack-4-6,3607,246,26,94
ani003-Attack-5-1,1023,1548,85,71
ani003-Attack-5-2,555,1676,85,59
ani003-Attack-5-3,0,1222,89,58
ani003-Attack-5-4,4779,286,102,96
ani003-Attack-5-5,4138,172,107,93
ani003-Attack-5-6,4902,382,98,84
ani003-Attack-6-1,4581,0,110,51
ani003-Attack-6-2,4577,51,109,42
ani003-Attack-6-3,1768,155,114,40
ani003-Attack-6-4,744,135,133,69
ani003-Attack-6-5,470,0,140,67
ani003-Attack-6-6,0,347,128,62
ani003-Attack-7-1,3810,168,87,63
ani003-Attack-7-2,156,2224,84,62
ani003-Attack-7-3,158,1299,89,59
ani003-Attack-7-4,4780,238,103,48
ani003-Attack-7-5,4137,265,107,44
ani003-Attack-7-6,4030,431,99,52
ani003-Stand-0-1,1185,2819,26,68
ani003-Stand-0-2,1367,2703,26,67
ani003-Stand-0-3,1367,2770,26,67
ani003-Stand-0-4,979,2314,27,67
ani003-Stand-0-5,1367,2837,26,67
ani003-Stand-0-6,1367,2904,26,67
ani003-Stand-1-1,856,1619,85,63
ani003-Stand-1-2,3459,122,87,62
ani003-Stand-1-3,3546,122,87,62
ani003-Stand-1-4,2763,184,87,62
ani003-Stand-1-5,2676,185,87,62
ani003-Stand-1-6,2850,184,87,62
ani003-Stand-2-1,4691,0,110,51
ani003-Stand-2-2,1274,488,111,51
ani003-Stand-2-3,1275,437,112,51
ani003-Stand-2-4,1900,70,114,51
ani003-Stand-2-5,862,537,112,51
ani003-Stand-2-6,2589,0,111,51
ani003-Stand-3-1,2856,51,87,71
ani003-Stand-3-2,1654,867,86,71
ani003-Stand-3-3,1023,968,88,72
ani003-Stand-3-4,158,1517,87,73
ani003-Stand-3-5,1163,1086,88,72
ani003-Stand-3-6,1489,929,86,71
ani003-Stand-4-1,915,2494,26,81
ani003-Stand-4-2,2060,1242,26,82
ani003-Stand-4-3,287,446,25,84
ani003-Stand-4-4,4973,1774,27,84
ani003-Stand-4-5,4856,689,25,84
ani003-Stand-4-6,1935,1352,26,82
ani003-Stand-5-1,856,1413,85,71
ani003-Stand-5-2,2943,51,87,71
ani003-Stand-5-3,0,1644,87,72
ani003-Stand-5-4,1251,1117,88,72
ani003-Stand-5-5,1490,714,87,72
ani003-Stand-5-6,3030,51,87,71
ani003-Stand-6-1,4801,0,110,51
ani003-Stand-6-2,2700,0,111,51
ani003-Stand-6-3,744,555,112,51
ani003-Stand-6-4,2129,50,114,51
ani003-Stand-6-5,587,650,112,51
ani003-Stand-6-6,2811,0,111,51
ani003-Stand-7-1,3810,231,87,63
ani003-Stand-7-2,1251,1258,86,62
ani003-Stand-7-3,2937,184,87,62
ani003-Stand-7-4,3024,184,87,62
ani003-Stand-7-5,3111,184,87,62
ani003-Stand-7-6,1402,1332,86,62
ani003-Walk-0-1,1237,2668,26,73
ani003-Walk-0-2,1292,1954,27,71
ani003-Walk-0-3,791,2504,27,68
ani003-Walk-0-4,1133,2705,26,72
ani003-Walk-0-5,2483,2036,27,73
ani003-Walk-0-6,1659,2434,27,71
ani003-Walk-0-7,1263,2813,26,69
ani003-Walk-0-8,2483,1815,27,74
ani003-Walk-1-1,856,1280,88,60
ani003-Walk-1-2,744,1741,85,58
ani003-Walk-1-3,158,1663,85,61
ani003-Walk-1-4,744,1616,85,63
ani003-Walk-1-5,856,1554,85,65
ani003-Walk-1-6,1881,829,86,63
ani003-Walk-1-7,3198,184,87,62
ani003-Walk-2-1,1892,121,114,49
ani003-Walk-2-2,1528,333,113,50
ani003-Walk-2-3,3920,453,110,49
ani003-Walk-2-4,4030,102,108,51
ani003-Walk-2-5,4359,51,109,50
ani003-Walk-2-6,3920,204,110,50
ani003-Walk-2-7,312,832,112,50
ani003-Walk-2-8,2360,0,115,49
ani003-Walk-3-1,1163,868,88,73
ani003-Walk-3-2,2328,576,86,69
ani003-Walk-3-3,156,2022,84,70
ani003-Walk-3-4,0,2074,84,72
ani003-Walk-3-5,0,2146,84,70
ani003-Walk-3-6,2242,640,86,69
ani003-Walk-3-7,1163,1158,88,70
ani003-Walk-4-1,1133,2549,26,78
ani003-Walk-4-2,1159,2548,26,79
ani003-Walk-4-3,1706,1504,26,82
ani003-Walk-4-4,4820,1910,26,83
ani003-Walk-4-5,942,2488,26,81
ani003-Walk-4-6,1133,2388,26,81
ani003-Walk-4-7,1133,2469,26,80
ani003-Walk-4-8,1263,2516,26,77
ani003-Walk-5-1,856,1150,88,68
ani003-Walk-5-2,1488,1070,86,70
ani003-Walk-5-3,856,1340,85,73
ani003-Walk-5-4,157,1803,84,74
ani003-Walk-5-5,1023,1475,85,73
ani003-Walk-5-6,1402,1076,86,70
ani003-Walk-5-7,1528,647,88,67
ani003-Walk-6-1,1892,170,114,49
ani003-Walk-6-2,1654,243,113,51
ani003-Walk-6-3,3810,49,110,53
ani003-Walk-6-4,4030,153,108,51
ani003-Walk-6-5,4468,51,109,50
ani003-Walk-6-6,3920,254,110,50
ani003-Walk-6-7,158,963,112,49
ani003-Walk-6-8,2130,0,115,50
ani003-Walk-7-1,3810,102,87,66
ani003-Walk-7-2,2120,723,86,64
ani003-Walk-7-3,0,2216,84,62
ani003-Walk-7-4,2672,493,83,59
ani003-Walk-7-5,470,1655,85,60
ani003-Walk-7-6,1023,1312,86,59
ani003-Walk-7-7,559,1173,88,60
ani005-Attack-0-1,1159,2845,26,68
ani005-Attack-0-2,832,2311,29,68
ani005-Attack-0-3,1133,2887,26,68
ani005-Attack-0-4,2528,884,28,52
ani005-Attack-0-5,361,2524,30,48
ani005-Attack-0-6,2528,830,28,54
ani005-Attack-0-7,1367,2971,26,67
ani005-Attack-1-1,856,1682,85,63
ani005-Attack-1-2,744,1118,88,62
ani005-Attack-1-3,1488,1388,86,62
ani005-Attack-1-4,856,863,89,43
ani005-Attack-1-5,558,1348,88,55
ani005-Attack-1-6,4568,291,104,58
ani005-Attack-1-7,4902,705,98,55
ani005-Attack-2-1,2922,0,111,51
ani005-Attack-2-2,4030,387,106,44
ani005-Attack-2-3,4783,195,105,43
ani005-Attack-2-4,470,511,117,64
ani005-Attack-2-5,1163,0,125,74
ani005-Attack-2-6,610,66,134,76
ani005-Attack-2-7,312,445,123,60
ani005-Attack-3-1,3117,51,87,71
ani005-Attack-3-2,1574,1445,78,65
ani005-Attack-3-3,4030,617,77,62
ani005-Attack-3-4,2120,170,92,86
ani005-Attack-3-5,4671,356,102,96
ani005-Attack-3-6,4902,288,98,94
ani005-Attack-3-7,1402,527,91,83
ani005-Attack-4-1,1159,2388,26,81
ani005-Attack-4-2,2560,1855,29,73
ani005-Attack-4-3,890,2388,27,70
ani005-Attack-4-4,716,475,28,102
ani005-Attack-4-5,2212,283,30,108
ani005-Attack-4-6,2560,281,29,105
ani005-Attack-4-7,4974,1598,26,91
ani005-Attack-5-1,2328,506,86,70
ani005-Attack-5-2,1163,1295,86,61
ani005-Attack-5-3,1163,1356,86,60
ani005-Attack-5-4,582,797,89,94
ani005-Attack-5-5,1402,610,88,99
ani005-Attack-5-6,4675,259,104,97
ani005-Attack-5-7,4902,628,98,77
ani005-Attack-6-1,3033,0,111,51
ani005-Attack-6-2,4677,172,106,44
ani005-Attack-6-3,4675,216,105,43
ani005-Attack-6-4,587,474,117,70
ani005-Attack-6-5,470,217,125,79
ani005-Attack-6-6,470,67,134,75
ani005-Attack-6-7,312,505,123,59
ani005-Attack-7-1,1767,887,86,63
ani005-Attack-7-2,1402,1510,78,63
ani005-Attack-7-3,4129,610,77,62
ani005-Attack-7-4,1881,502,92,51
ani005-Attack-7-5,4671,452,102,55
ani005-Attack-7-6,4902,916,98,51
ani005-Attack-7-7,2006,486,91,59
ani005-Stand-0-1,1211,2832,26,68
ani005-Stand-0-2,1367,3038,26,67
ani005-Stand-0-3,1367,3105,26,67
ani005-Stand-0-4,949,2359,27,67
ani005-Stand-0-5,1367,3172,26,67
ani005-Stand-0-6,1367,3239,26,67
ani005-Stand-0-7,1185,2887,26,68
ani005-Stand-0-8,1159,2913,26,68
ani005-Stand-1-1,0,2278,84,62
ani005-Stand-1-2,3285,184,87,62
ani005-Stand-1-3,744,1180,88,62
ani005-Stand-1-4,856,1218,88,62
ani005-Stand-1-5,3372,184,87,62
ani005-Stand-1-6,269,2027,84,62
ani005-Stand-1-7,557,1553,85,63
ani005-Stand-2-1,3144,0,111,51
ani005-Stand-2-2,3255,0,111,51
ani005-Stand-2-3,470,677,112,51
ani005-Stand-2-4,1402,212,113,51
ani005-Stand-2-5,1528,231,113,51
ani005-Stand-2-6,582,701,112,51
ani005-Stand-2-7,3366,0,111,51
ani005-Stand-2-8,4031,51,110,51
ani005-Stand-3-1,3204,51,87,71
ani005-Stand-3-2,3291,51,87,71
ani005-Stand-3-3,1251,899,88,73
ani005-Stand-3-4,1163,941,88,73
ani005-Stand-3-5,1023,1040,88,72
ani005-Stand-3-6,3378,51,87,71
ani005-Stand-3-7,3465,51,87,71
ani005-Stand-4-1,1185,2435,26,81
ani005-Stand-4-2,2060,1324,26,82
ani005-Stand-4-3,4820,1993,26,83
ani005-Stand-4-4,4974,1689,26,85
ani005-Stand-4-5,4413,1725,26,84
ani005-Stand-4-6,4820,2076,26,83
ani005-Stand-4-7,1935,1434,26,82
ani005-Stand-4-8,1185,2516,26,81
ani005-Stand-5-1,744,1420,85,70
ani005-Stand-5-2,3552,51,87,71
ani005-Stand-5-3,1490,786,87,72
ani005-Stand-5-4,158,1590,87,73
ani005-Stand-5-5,1402,792,87,72
ani005-Stand-5-6,1402,935,86,71
ani005-Stand-5-7,2242,560,86,70
ani005-Stand-6-1,3477,0,111,51
ani005-Stand-6-2,3588,0,111,51
ani005-Stand-6-3,470,728,112,51
ani005-Stand-6-4,1402,282,113,51
ani005-Stand-6-5,1528,282,113,51
ani005-Stand-6-6,312,781,112,51
ani005-Stand-6-7,3699,0,111,51
ani005-Stand-6-8,3920,53,110,51
ani005-Stand-7-1,2676,122,87,63
ani005-Stand-7-2,3459,184,87,62
ani005-Stand-7-3,3546,184,87,62
ani005-Stand-7-4,3633,187,87,62
ani005-Stand-7-5,1023,1250,88,62
ani005-Stand-7-6,2589,184,87,63
ani005-Stand-7-7,1767,950,86,63
ani005-Walk-0-1,1263,2740,26,73
ani005-Walk-0-2,1659,2505,27,71
ani005-Walk-0-3,762,2512,27,68
ani005-Walk-0-4,1159,2705,26,72
ani005-Walk-0-5,2483,2109,27,73
ani005-Walk-0-6,129,2622,27,71
ani005-Walk-0-7,1133,2777,26,69
ani005-Walk-0-8,2483,1889,27,74
ani005-Walk-1-1,2473,320,87,60
ani005-Walk-1-2,2676,247,87,58
ani005-Walk-1-3,2936,246,84,61
ani005-Walk-1-4,2675,430,83,63
ani005-Walk-1-5,2762,445,83,65
ani005-Walk-1-6,1654,938,86,63
ani005-Walk-1-7,2763,246,87,62
ani005-Walk-2-1,2006,150,114,49
ani005-Walk-2-2,1654,106,114,50
ani005-Walk-2-3,3810,0,111,49
ani005-Walk-2-4,4030,204,108,51
ani005-Walk-2-5,4570,144,107,50
ani005-Walk-2-6,3920,304,110,50
ani005-Walk-2-7,158,863,112,51
ani005-Walk-2-8,1282,283,113,49
ani005-Walk-3-1,158,1140,89,72
ani005-Walk-3-2,1251,1189,88,69
ani005-Walk-3-3,856,1484,85,70
ani005-Walk-3-4,2936,307,83,71
ani005-Walk-3-5,156,2092,84,70
ani005-Walk-3-6,2850,246,86,70
ani005-Walk-3-7,3639,51,87,70
ani005-Walk-4-1,1133,2627,26,78
ani005-Walk-4-2,646,1434,25,79
ani005-Walk-4-3,2060,1406,26,82
ani005-Walk-4-4,2855,1100,26,82
ani005-Walk-4-5,1211,2454,26,81
ani005-Walk-4-6,2855,1182,26,82
ani005-Walk-4-7,646,1353,25,81
ani005-Walk-4-8,1289,2525,26,77
ani005-Walk-5-1,1654,800,88,67
ani005-Walk-5-2,2763,308,86,70
ani005-Walk-5-3,156,1877,84,73
ani005-Walk-5-4,0,1927,84,74
ani005-Walk-5-5,0,2001,84,73
ani005-Walk-5-6,2676,360,86,70
ani005-Walk-5-7,1023,1182,88,68
ani005-Walk-6-1,2006,199,114,49
ani005-Walk-6-2,1778,104,114,51
ani005-Walk-6-3,0,956,111,52
ani005-Walk-6-4,4794,143,108,52
ani005-Walk-6-5,4463,154,107,50
ani005-Walk-6-6,3920,354,110,50
ani005-Walk-6-7,158,1012,112,49
ani005-Walk-6-8,1163,308,113,49
ani005-Walk-7-1,559,984,88,66
ani005-Walk-7-2,559,1050,88,63
ani005-Walk-7-3,744,1679,85,62
ani005-Walk-7-4,2589,511,83,59
ani005-Walk-7-5,3020,246,84,60
ani005-Walk-7-6,470,1715,85,59
ani005-Walk-7-7,2473,380,87,60
ani009-Attack-0-1,2566,222,23,59
ani009-Attack-0-2,3897,163,23,60
ani009-Attack-0-3,245,1655,24,61
ani009-Attack-0-4,3896,403,24,49
ani009-Attack-0-5,4098,2206,20,50
ani009-Attack-0-6,4098,2304,20,45
ani009-Attack-0-7,4514,1091,23,57
ani009-Attack-1-1,3899,1496,58,54
ani009-Attack-1-2,2988,754,56,55
ani009-Attack-1-3,2986,1560,54,55
